no,DBH,height,Species
251,10.3,16.7,DF
252,14.6,16.7,DF
253,22.4,16.7,DF
254,7.3,16.8,HWD
255,11.4,16.8,DF
256,15.8,16.8,DF
257,13.5,16.9,DF
258,16.5,17,DF
259,13.1,17,DF
260,6.8,17.1,HWD
261,16.1,17.1,DF
262,21.3,17.1,DF
263,13.1,17.2,HWD
264,19.7,17.2,DF
265,17.9,17.2,DF
266,7.2,17.3,HWD
267,16.3,17.3,DF
268,13.4,17.3,DF
269,16.9,17.3,DF
270,12.9,17.3,DF
271,17.7,17.3,DF
272,14.5,17.3,DF
273,15,17.4,DF
274,15.4,17.4,DF
275,16.1,17.4,DF
276,16.5,17.5,DF
277,20.1,17.6,DF
278,15.6,17.7,DF
279,15.4,17.7,DF
280,17.4,17.7,DF
281,18.1,17.8,DF
282,15.9,17.8,DF
283,14.4,17.9,DF
284,25.4,18,DF
285,17.6,18,DF
286,17.1,18,DF
287,20.5,18,DF
288,8.5,18.1,HWD
289,10.2,18.1,HWD
290,25,18.1,DF
291,22.1,18.1,DF
292,17.2,18.1,DF
293,26.1,18.2,HWD
294,21.2,18.3,DF
295,18.3,18.3,DF
296,21.2,18.5,DF
297,8.4,18.5,HWD
298,16.5,18.6,DF
299,16.9,18.8,DF
300,24.1,18.8,DF
301,21.8,18.9,DF
302,23,19,DF
303,9.2,19,DF
304,22,19.1,DF
305,22.2,19.1,DF
306,23.1,19.1,DF
307,14.9,19.2,DF
308,20,19.3,HWD
309,18.1,19.3,DF
310,22.3,19.3,DF
311,20.9,19.4,DF
312,19.9,19.5,DF
313,20.8,19.5,DF
314,23.9,19.6,DF
315,19.4,19.6,DF
316,24.5,19.8,DF
317,20.9,19.9,DF
318,19.3,20,DF
319,14.4,20,DF
320,26.8,20.1,HWD
321,23.7,20.1,DF
322,21.5,20.1,DF
323,22,20.1,DF
324,26.8,20.2,DF
325,19.5,20.2,DF
326,19.7,20.3,HWD
327,28.9,20.4,DF
328,20.4,20.4,DF
329,25,20.5,DF
330,23.7,20.6,DF
331,21.2,20.7,DF
332,22.3,20.7,DF
333,24.3,20.8,DF
334,13.9,20.8,HWD
335,30.9,20.9,DF
336,32.4,20.9,DF
337,10.2,21,HWD
338,34.8,21.1,DF
339,23.5,21.1,DF
340,28.9,21.2,DF
341,23.2,21.2,DF
342,8.8,22,HWD
343,5.5,22,HWD
344,23.5,22.2,DF
345,7.7,22.8,DF
346,13.5,23,HWD
347,20.5,23.4,HWD
348,24.2,23.5,DF
349,45.3,23.6,DF
350,34,23.7,DF
